step,eval-loss
100,0.4957428
200,0.48142275
300,0.4567226
400,0.45070508
500,0.44882068
600,0.44456524
700,0.44653973
800,0.4450751
900,0.44464827
1000,0.44569436
1100,0.44583938
1200,0.4448232
1300,0.44509715
1400,0.44653246
1500,0.4440789
1600,0.4436127
1700,0.44380528
1800,0.44521698
1900,0.44422415
2000,0.44378892
2100,0.44367164
2200,0.44301653
2300,0.44434974
2400,0.4447911
2500,0.4443882
2600,0.4459633
2700,0.44506103
2800,0.44451806
2900,0.4432524
3000,0.44488704
3100,0.44324997
3200,0.44258374
3300,0.4433642
3400,0.44336295
3500,0.44250393
3600,0.441698
3700,0.44269705
3800,0.44385174
3900,0.44382983
4000,0.44284704
4100,0.44316646
4200,0.44385016
4300,0.44301718
4400,0.44436923
4500,0.4433543
4600,0.44308668
4700,0.44315234
