step,eval-loss
100,0.480241
200,0.4136302
300,0.3312485
400,0.30184296
500,0.29592997
600,0.29187214
700,0.29301977
800,0.29943326
900,0.30276942
1000,0.29157415
1100,0.29419023
1200,0.28882486
1300,0.29920712
1400,0.28865722
1500,0.2814072
1600,0.29091817
1700,0.2916218
1800,0.2970477
1900,0.28362456
2000,0.27619165
2100,0.30044833
2200,0.29144916
2300,0.29045206
2400,0.2796194
2500,0.2870773
2600,0.2965274
2700,0.2848532
2800,0.3069338
2900,0.290957
3000,0.28616783
3100,0.29088014
