step,eval-loss
100,0.28104872
200,0.1701134
300,0.111603856
400,0.092095
500,0.07331768
600,0.06912867
700,0.0645532
800,0.06429978
900,0.05908146
1000,0.060138002
1100,0.056164406
1200,0.06070049
1300,0.0560341
1400,0.058988072
1500,0.054262284
1600,0.060801394
1700,0.054869793
1800,0.051683575
1900,0.049851093
2000,0.049456056
2100,0.05073062
2200,0.04980739
2300,0.04884708
2400,0.047487546
2500,0.050931256
2600,0.052348495
2700,0.052384995
2800,0.049937848
2900,0.052617893
3000,0.04969849
3100,0.052010234
3200,0.05226585
3300,0.047600392
3400,0.047954313
3500,0.049288824
