step,eval-loss
100,0.43871242
200,0.37072557
300,0.32693785
400,0.29511663
500,0.27086046
600,0.25405145
700,0.23969196
800,0.23811935
900,0.22955316
1000,0.21784541
1100,0.21391608
1200,0.21141733
1300,0.2027006
1400,0.20062734
1500,0.20010607
1600,0.19795549
1700,0.19698972
1800,0.19719203
1900,0.19403419
2000,0.1877036
2100,0.18639939
2200,0.18681549
2300,0.18638197
2400,0.18423505
2500,0.18172042
2600,0.17934369
2700,0.17946546
2800,0.17909642
2900,0.17942768
3000,0.17892401
3100,0.17767943
3200,0.1757667
3300,0.17520618
3400,0.17428154
3500,0.17421435
3600,0.17485484
3700,0.17300284
3800,0.17212173
3900,0.17049004
4000,0.1701008
4100,0.16990215
4200,0.17004938
4300,0.16994746
4400,0.16957238
4500,0.16940522
4600,0.16937074
4700,0.16923036
4800,0.16940261
4900,0.1693575
5000,0.16960002
5100,0.16985354
5200,0.17169455
5300,0.17502098
5400,0.17233096
5500,0.17076144
5600,0.16986807
5700,0.16931438
5800,0.1691867
5900,0.16917515
6000,0.16914539
6100,0.16921902
6200,0.16911037
6300,0.1691331
6400,0.16911063
6500,0.16923197
6600,0.16914627
6700,0.16912752
6800,0.16928294
6900,0.16933881
7000,0.17022762
7100,0.17018768
7200,0.17100151
7300,0.17179844
