step,eval-loss
100,0.47636166
200,0.38980344
300,0.1528591
400,0.11641734
500,0.11557487
600,0.114835344
700,0.11028763
800,0.111644395
900,0.1106513
1000,0.109423585
1100,0.11062006
1200,0.110906616
1300,0.11012502
1400,0.1093652
1500,0.11108159
1600,0.1107991
1700,0.11002343
1800,0.11012744
1900,0.10938783
2000,0.110237755
2100,0.10988997
2200,0.1100838
2300,0.11016519
2400,0.10885267
2500,0.10843317
2600,0.10914448
2700,0.10977542
2800,0.11075824
2900,0.11068967
3000,0.110782295
3100,0.11035336
3200,0.11085133
3300,0.10939848
3400,0.10968054
3500,0.10967841
3600,0.110073715
