step,eval-loss
100,0.5542928
200,0.36589494
300,0.31931216
400,0.25966233
500,0.24527526
600,0.19785225
700,0.1714514
800,0.16241463
900,0.15666118
1000,0.13117543
1100,0.12721564
1200,0.116070464
1300,0.12997381
1400,0.11458613
1500,0.10206237
1600,0.10183563
1700,0.109761044
1800,0.112821266
1900,0.108227514
2000,0.10326805
2100,0.10220148
2200,0.08280225
2300,0.087959
2400,0.094083905
2500,0.0870838
2600,0.09075613
2700,0.096570626
2800,0.07993073
2900,0.07541062
3000,0.0824827
3100,0.08817537
3200,0.08372988
3300,0.08939607
3400,0.09501819
3500,0.10378382
3600,0.08525975
3700,0.07596609
3800,0.09189182
3900,0.08929035
4000,0.07616036
