step,eval-loss
100,0.2640546
200,0.065156616
300,0.030909194
400,0.012810947
500,0.008991698
600,0.008932012
700,0.008931281
800,0.008930728
900,0.008930368
1000,0.008930112
1100,0.008929865
1200,0.008929717
1300,0.008929586
1400,0.008929493
1500,0.008929411
1600,0.008929341
1700,0.008929279
1800,0.008929222
1900,0.008929184
2000,0.008929129
2100,0.008929087
2200,0.008929048
2300,0.008929017
2400,0.00892898
2500,0.008928955
2600,0.008928928
2700,0.00892891
2800,0.008928889
2900,0.008928868
3000,0.008928848
3100,0.0089288335
3200,0.008928821
3300,0.008928807
3400,0.008928794
3500,0.00892878
3600,0.008928771
3700,0.008928761
3800,0.008928751
3900,0.0089287395
4000,0.00892873
4100,0.008928725
4200,0.008928716
4300,0.00892871
4400,0.008928701
4500,0.008928696
4600,0.008928688
4700,0.008928681
4800,0.008928677
4900,0.008928672
5000,0.008928667
5100,0.008928661
5200,0.0089286575
5300,0.008928654
5400,0.00892865
5500,0.008928646
5600,0.008928643
5700,0.00892864
5800,0.008928636
5900,0.008928632
6000,0.008928631
6100,0.00892863
6200,0.008928626
6300,0.008928624
6400,0.008928622
6500,0.008928619
6600,0.008928617
6700,0.008928615
6800,0.008928614
6900,0.008928611
7000,0.008928608
7100,0.008928607
7200,0.008928605
7300,0.0089286035
7400,0.008928603
7500,0.008928602
7600,0.0089286
7700,0.008928599
7800,0.008928597
7900,0.008928597
8000,0.008928595
8100,0.008928593
8200,0.008928592
8300,0.008928592
8400,0.008928591
8500,0.00892859
8600,0.00892859
8700,0.008928589
8800,0.008928589
8900,0.008928588
9000,0.008928588
9100,0.008928587
9200,0.008928586
9300,0.008928585
9400,0.008928583
9500,0.008928582
9600,0.008928582
9700,0.008928582
9800,0.008928582
9900,0.008928582
10000,0.008928581
10100,0.008928581
10200,0.00892858
10300,0.00892858
10400,0.008928579
10500,0.008928578
10600,0.008928578
10700,0.008928577
10800,0.008928577
10900,0.008928577
11000,0.008928577
11100,0.008928577
11200,0.0089285765
11300,0.0089285765
11400,0.0089285765
11500,0.0089285765
11600,0.0089285765
11700,0.008928576
11800,0.008928575
11900,0.008928575
12000,0.008928575
12100,0.008928575
12200,0.008928575
12300,0.008928575
12400,0.008928575
12500,0.008928575
12600,0.008928575
12700,0.008928575
12800,0.008928573
12900,0.008928573
13000,0.008928573
13100,0.008928573
13200,0.008928573
13300,0.008928572
13400,0.008928572
13500,0.008928572
13600,0.008928572
13700,0.008928572
13800,0.008928572
13900,0.008928572
14000,0.008928572
14100,0.008928572
14200,0.008928572
14300,0.008928572
14400,0.008928572
