step,eval-loss
100,25.62331
200,12.223663
300,7.064328
400,3.522733
500,3.3910477
600,3.5313506
700,1.5855608
800,1.0946585
900,1.1581299
1000,1.5855662
1100,1.6883138
1200,0.98963356
1300,0.88387764
1400,0.7596086
1500,0.53589535
1600,0.73961246
1700,0.54365
1800,0.5477988
1900,0.63864577
2000,0.6398063
2100,0.5021243
2200,0.6203475
2300,0.55468816
2400,0.71936667
2500,0.5007573
2600,0.50061166
2700,0.5001137
2800,0.50135565
2900,0.5114983
3000,0.49985027
3100,0.51215845
3200,0.5189888
3300,0.604784
3400,0.50280505
3500,0.56261337
3600,0.5004714
3700,0.50256693
3800,0.5893294
3900,0.5348991
4000,0.5071814
4100,0.5411658
