step,eval-loss
100,0.4443245
200,0.38781744
300,0.3189738
400,0.28152654
500,0.26692897
600,0.25342065
700,0.24099453
800,0.23646872
900,0.22641183
1000,0.22032602
1100,0.21408412
1200,0.2045769
1300,0.19574536
1400,0.19026388
1500,0.18939088
1600,0.1860854
1700,0.18080784
1800,0.1803053
1900,0.1814928
2000,0.18003993
2100,0.17909615
2200,0.1779234
2300,0.17813122
2400,0.18261296
2500,0.1842405
2600,0.18287587
2700,0.17998819
2800,0.18102196
2900,0.17982091
3000,0.17999998
3100,0.18055196
3200,0.17923957
3300,0.17903133
