step,eval-loss
100,0.44749242
200,0.30315492
300,0.21825206
400,0.14809296
500,0.14587516
600,0.13116226
700,0.11824964
800,0.11502447
900,0.106213376
1000,0.11422627
1100,0.105314896
1200,0.09960449
1300,0.09688999
1400,0.10777996
1500,0.09376427
1600,0.09143349
1700,0.09190244
1800,0.093314275
1900,0.09616361
2000,0.084476694
2100,0.09841958
2200,0.093840234
2300,0.09349191
2400,0.09290108
2500,0.08580209
2600,0.07363152
2700,0.079427525
2800,0.078667045
2900,0.08000327
3000,0.089331426
3100,0.087228365
3200,0.07502855
3300,0.0880882
3400,0.082335904
3500,0.086316146
3600,0.08798435
3700,0.079693
